ProjectID,ProjectPI,OutputVenue,OutputTitle,OutputVolume,ProjectTitle,ProjectEndYear,OutputType,OutputStatus,Affiliation,DOI,OutputMonth,OutputBiblio,ProjectYearStarted,OutputYear,ProjectRDC,ProjectStartYear,ProjID,ProjectStatus,PredictedTopic,OutputNumber,ProjectYearEnded,OutputPages,Keywords
1758.0,Katherine Calle Willyard,Texas A&M University,"The Effects of Organizational, Community, and State Regulatory Characteristics on Texas Oil and Gas Extraction Facility Venting and Flaring Practices",,"Organizational Characteristics, the Characteristics of Organizational Institutional Environments and Texas Oil and Gas Venting and Flaring Practices",,DI,PB,,10.3386/w14250,,"Willyard, Katherine Ann Calle. The Effects of Organizational, Community, and State Regulatory Characteristics on Texas Oil and Gas Extraction Facility Venting and Flaring Practices. Ph.D.Dissertation. 2019",,2019.0,Texas,2018.0,,Active,economics,,,,"texas oil, facility venting, state regulatory, oil gas, characteristics texas"
1758.0,Katherine Calle Willyard,Energy Research & Social Science,Wasting Natural Resources: A Quantitative Analysis of Texas Oil and Gas Venting and Flaring Practices,62,"Organizational Characteristics, the Characteristics of Organizational Institutional Environments and Texas Oil and Gas Venting and Flaring Practices",,JA,PB,,10.3386/w14250,,"Willyard, Katherine Ann. 2020. “Wasting Natural Resources: A Quantitative Analysis of Texas Oil and Gas Venting and Flaring Practices.” Energy Research & Social Science, 62, https://doi.org/10.1016/j.erss.2019.101381.  ",,2020.0,Texas,2018.0,,Active,economics,,,,"texas oil, oil gas, analysis texas, natural resources, wasting natural"
1762.0,Ben Hyman,Center for Economic Studies,"The Impact of Trade Adjustment Assistance (TAA) Benefits on Workers, and Assessing LEHD Successor-Predecessor Linkages with Researcher-Provided Data on Mass Layoffs",,"The Impact of Trade Adjustment Assistance (TAA) Benefits on Workers, and Assessing LEHD Successor-Predecessor Linkages with Researcher-Provided Data on Mass Layoffs",2024.0,TN,PB,,10.3386/w14250,November,"Benjamin Hyman, 2022. ""The Impact of Trade Adjustment Assistance (TAA) Benefits on Workers, and Assessing LEHD Successor-Predecessor Linkages with Researcher-Provided Data on Mass Layoffs,"" CES Technical Notes Series 22-11, Center for Economic Studies, U.S. Census Bureau.",,2022.0,Baruch,2017.0,,Completed,economics,2022-11,,,"layoffs, mass layoffs, trade adjustment, benefits workers, taa benefits"
1762.0,Ben Hyman,Center for Economic Studies,Can Displaced Labor Be Retrained? Evidence from Quasi-Random Assignment to Trade Adjustment Assistance,,"The Impact of Trade Adjustment Assistance (TAA) Benefits on Workers, and Assessing LEHD Successor-Predecessor Linkages with Researcher-Provided Data on Mass Layoffs",2024.0,WP,PB,,10.3386/w14250,February,"Benjamin G. Hyman, 2022. ""Can Displaced Labor Be Retrained? Evidence from Quasi-Random Assignment to Trade Adjustment Assistance,"" Working Papers 22-05, Center for Economic Studies, U.S. Census Bureau.",,2022.0,Baruch,2017.0,,Completed,economics,22-05,,,"labor retrained, displaced labor, trade adjustment, labor, assignment trade"
1762.0,Ben Hyman,University of Pennsylvania,Essays in Public Economics and International Trade,,"The Impact of Trade Adjustment Assistance (TAA) Benefits on Workers, and Assessing LEHD Successor-Predecessor Linkages with Researcher-Provided Data on Mass Layoffs",2024.0,DI,PB,,10.3386/w14250,,"Hyman, Benjamin G. Essays in Public Economics and International Trade. Ph.D. Dissertation. University of Pennsylvania. 2018.",,2018.0,Baruch,2017.0,,Completed,economics,,,,"public economics, international trade, economics international, economics, essays public"
1762.0,Ben Hyman,,Wage Insurance for Displaced Workers,,"The Impact of Trade Adjustment Assistance (TAA) Benefits on Workers, and Assessing LEHD Successor-Predecessor Linkages with Researcher-Provided Data on Mass Layoffs",2024.0,MI,UP,,10.3386/w14250,July,"Hyman, Benjamin, Kovak, Brian, and Leive, Adam,""Wage Insurance for Displaced Workers"". Mimeo. July 2023.",,2023.0,Baruch,2017.0,,Completed,economics,,,,"insurance displaced, displaced workers, wage insurance, insurance, wage"
1762.0,Ben Hyman,University of Pennsylvania,Can Displaced Labor Be Retrained? Evidence from Quasi-Random Assignment to Trade Adjustment Assistance,,"The Impact of Trade Adjustment Assistance (TAA) Benefits on Workers, and Assessing LEHD Successor-Predecessor Linkages with Researcher-Provided Data on Mass Layoffs",2024.0,MI,UP,,10.3386/w14250,,"Hyman, Benjamin G, “Can Displaced Labor Be Retrained? Evidence from Quasi-Random Assignment to Trade Adjustment Assistance,” University of Pennsylvania mimeo, 2018. [RDC]",,2018.0,Baruch,2017.0,,Completed,economics,,,,"labor retrained, displaced labor, trade adjustment, labor, assignment trade"
1779.0,Yuci Chen,Center for Economic Studies,What Do Establishments Do When Wages Increase? Evidence from Minimum Wages in the United States,,"Wages, Production and Pass-through",,WP,PB,,10.3386/w14250,,"Yuci Chen, 2019. ""What Do Establishments Do When Wages Increase? Evidence from Minimum Wages in the United States,"" Working Papers 19-31, Center for Economic Studies, U.S. Census Bureau.",,2019.0,Chicago,2017.0,,Active,economics,19-31,,,"establishments wages, wages increase, wages, minimum wages, wages united"
1779.0,Yuci Chen,University of Illinois at Urbana-Champaign,Three Essays in Labor Economics,,"Wages, Production and Pass-through",,DI,PB,,10.3386/w14250,,"Yuci Chen, 2020. Three Essays in Labor Economics. Ph.D. Dissertation. University of Illinois at Urbana-Champaign.",,2020.0,Chicago,2017.0,,Active,economics,,,,"labor economics, essays labor, labor, essays, economics"
1785.0,Ishan Nath,NBER,"Climate Change, The Food Problem, and the Challenge of Adaptation through Sectoral Reallocation",,"Farms or Factories? Trade, Reallocation, and General Equilibrium Adaptation  to the Global Productivity Impacts of Extreme Weather",,WP,PB,,10.3386/w14250,,"Nath, Ishan B., ""Climate Change, The Food Problem, and the Challenge of Adaptation through Sectoral Reallocation"" NBER Working Paper Series, No. 27297, June 2020.",,2020.0,Chicago,2018.0,,Active,economics,27297,,,"climate change, change food, adaptation sectoral, climate, sectoral reallocation"
1787.0,Noriko Amano,Cambridge Working Papers in Economics,Is Affirmative Action in Employment Still Effective in the 21st Century?,,The Effect of Affirmative Action on Workers' Outcomes,,WP,PB,,10.3386/w14250,November,"Noriko Amano-Patiño & Julian Aramburu & Zara Contractor, 2022. ""Is Affirmative Action in Employment Still Effective in the 21st Century?,"" Cambridge Working Papers in Economics 2262. University of Cambridge.",,2022.0,Yale,2017.0,,Active,economics,2262,,,"affirmative action, employment effective, action employment, affirmative, 21st century"
1787.0,Noriko Amano,Yale University,Essays on the Effects of Labor Market Policies,,The Effect of Affirmative Action on Workers' Outcomes,,DI,PB,,10.3386/w14250,,"Aramburu, Julian (2022). Essays on the Effects of Labor Market Policies. Dissertation presented to the Faculty of the Graduate School of Yale University in Candidacy for the degree of Doctor in Philosophy. Yale University",,2022.0,Yale,2017.0,,Active,economics,,,,"labor market, effects labor, market policies, labor, policies"
1787.0,Noriko Amano,Cambridge Working Papers in Economics,The Effect of Affirmative Action on Workers' Outcomes,,The Effect of Affirmative Action on Workers' Outcomes,,WP,PB,,10.3386/w14250,January,"Amano-Patino, Noriko, Julian Aramburu, and Zara Contractor. ""The Effect of Affirmative Action on Workers' Outcomes."" (2021). Cambridge Working Papers in Economics, No.  2194",,2021.0,Yale,2017.0,,Active,economics,2194,,,"affirmative action, workers outcomes, effect affirmative, affirmative, outcomes"
1787.0,Noriko Amano,Center for Economic Studies,Is Affirmative Action in Employment Still Effective in the 21st Century?,,The Effect of Affirmative Action on Workers' Outcomes,,WP,PB,,10.3386/w14250,November,"Noriko Amano-Patiño & Julian Aramburu & Zara Contractor, 2022. ""Is Affirmative Action in Employment Still Effective in the 21st Century?,"" Working Papers 22-54, Center for Economic Studies, U.S. Census Bureau.",,2022.0,Yale,2017.0,,Active,economics,22-54,,,"affirmative action, employment effective, action employment, affirmative, 21st century"
1802.0,Richard K Mansfield,,How Local Are U.S. Labor Markets?: Using an Assignment Model to Forecast the Geographic and Skill Incidence of Local Labor Demand Shocks,,Estimating Two-Sided Assignment Models Using LEHD Data,,MI,UP,,10.3386/w14250,,"Mansfield, Richard. 2023. ""How Local Are U.S. Labor Markets?: Using an Assignment Model to Forecast the Geographic and Skill Incidence of Local Labor Demand Shocks."" Mimeo",,2023.0,Colorado,2017.0,,Active,economics,,,,"labor markets, local labor, labor demand, demand shocks, labor"
1802.0,Richard K Mansfield,,How Local Are U.S. Labor Markets?: Using an Assignment Model to Forecast the Geographic and Skill Incidence of Local Labor Demand Shocks,,Estimating Two-Sided Assignment Models Using LEHD Data,,MI,UP,,10.3386/w14250,,"Mansfield, Richard. 2021. ""How Local Are U.S. Labor Markets?: Using an Assignment Model to Forecast the Geographic and Skill Incidence of Local Labor Demand Shocks."" Mimeo",,2021.0,Colorado,2017.0,,Active,economics,,,,"labor markets, local labor, labor demand, demand shocks, labor"
1806.0,Ted D Mouw,,The effect of natural disasters on migration and demographic change at the neighborhood level: U.S. hurricanes 2005-2019,,Changes in Labor Demand and the Occupational and Geographic Mobility of U.S. Workers,,MI,UP,,10.3386/w14250,,"Mouw, Ted, Anna Gardner, and Elizabeth Frankenberg. 2023. The effect of natural disasters on migration and demographic change at the neighborhood level: U.S. hurricanes 2005-2019. Mimeo",,2023.0,Triangle,2018.0,,Active,economics,,,,"disasters migration, natural disasters, migration demographic, disasters, demographic change"
1806.0,Ted D Mouw,,Shift or Replenishment? Reassessing the prospect of stable Spanish bilingualism across contexts of ethnic change,,Changes in Labor Demand and the Occupational and Geographic Mobility of U.S. Workers,,MI,UP,,10.3386/w14250,,"Manrique, Ruy and Ted Mouw. 2023. “Shift or Replenishment? Reassessing the prospect of stable Spanish bilingualism across contexts of ethnic change.” Mimeo.",,2023.0,Triangle,2018.0,,Active,economics,,,,"spanish bilingualism, bilingualism contexts, bilingualism, stable spanish, ethnic change"
1808.0,Chen Yeh,Center for Economic Studies,Outsourcing Dynamism,,The role of idiosyncratic factors as determinants of aggregate outcomes,2024.0,WP,PB,,10.3386/w14250,December,"Andrea Atencio De Leon & Claudia Macaluso & Chen Yeh, 2023. ""Outsourcing Dynamism,"" Working Papers 23-64, Center for Economic Studies, U.S. Census Bureau.",,2023.0,Fed Board,2018.0,,Completed,economics,23-64,,,"outsourcing dynamism, outsourcing, dynamism"
1808.0,Chen Yeh,,Revisiting the origins of business cycles with the size-variance relationship ,,The role of idiosyncratic factors as determinants of aggregate outcomes,2024.0,MI,UP,,10.3386/w14250,August,"Yeh, Chen. 2021.  Revisiting the origins of business cycles with the size-variance relationship. Mimeo.",,2021.0,Fed Board,2018.0,,Completed,economics,,,,"business cycles, cycles size, size variance, origins business, cycles"
1808.0,Chen Yeh,,Monopsony in the U.S. Labor Market,,The role of idiosyncratic factors as determinants of aggregate outcomes,2024.0,MI,UP,,10.3386/w14250,,"Hershbein, Brad, Claudia Macaluso, and Chen Yeh. 2021. Monopsony in the U.S. Labor Market. Mimeo.",,2021.0,Fed Board,2018.0,,Completed,economics,,,,"monopsony labor, labor market, monopsony, labor, market"
1808.0,Chen Yeh,,Job Dynamics with Staffed Labor,,The role of idiosyncratic factors as determinants of aggregate outcomes,2024.0,MI,UP,,10.3386/w14250,,"Andrea Atencio De Leon & Claudia Macaluso & Chen Yeh, 2023. ""Job Dynamics with Staffed Labor."" Mimeo. (Previously submitted as ""Outsourcing Dynamism,"" Working Papers 23-64, Center for Economic Studies, U.S. Census Bureau.)",,2024.0,Fed Board,2018.0,,Completed,economics,,,,"job dynamics, staffed labor, staffed, labor, dynamics staffed"
1808.0,Chen Yeh,Center for Economic Studies,Understanding and improving the firm-level revenue measures from the Business Register (BR) files,,The role of idiosyncratic factors as determinants of aggregate outcomes,2024.0,TN,PB,,10.3386/w14250,,"Chen Yeh & Claudia Macaluso, 2023. ""Understanding and improving the firm-level revenue measures from the Business Register (BR) files,"" CES Technical Notes Series 23-03, Center for Economic Studies, U.S. Census Bureau.",,2023.0,Fed Board,2018.0,,Completed,economics,2023-03,,,"business register, revenue measures, level revenue, revenue, register br"
1808.0,Chen Yeh,University of Illinois at Urbana-Champaign,"Contracting out labor market dynamism: domestic outsourcing, firms’ recruiting behavior, and development",,The role of idiosyncratic factors as determinants of aggregate outcomes,2024.0,DI,PB,,10.3386/w14250,April,"Atencio De Leon, Andrea Carolina. Contracting out labor market dynamism: domestic outsourcing, firms’ recruiting behavior, and development. Ph.D. Dissertation. April 26, 2023.",,2023.0,Fed Board,2018.0,,Completed,economics,,,,"domestic outsourcing, outsourcing firms, outsourcing, contracting labor, firms recruiting"
1808.0,Chen Yeh,Review of Economics and Statistics,Revisiting the origins of business cycles with the size-variance relationship ,,The role of idiosyncratic factors as determinants of aggregate outcomes,2024.0,JA,FC,,10.3386/w14250,,"Yeh, Chen. 2023.  Revisiting the origins of business cycles with the size-variance relationship. Accepted by the Review of Economics and Statistics.",,2023.0,Fed Board,2018.0,,Completed,economics,,,,"business cycles, cycles size, size variance, origins business, cycles"
1808.0,Chen Yeh,American Economic Review,Monopsony in the U.S. Labor Market,112,The role of idiosyncratic factors as determinants of aggregate outcomes,2024.0,JA,PB,,10.3386/w14250,July,"Yeh, Chen, Claudia Macaluso, and Brad Hershbein. 2022. Monopsony in the U.S. Labor Market. American Economic Review. 112:7 2099-2138. https://www.aeaweb.org/articles?id=10.1257/aer.20200025",,2022.0,Fed Board,2018.0,,Completed,economics,7,,2099-2138,"monopsony labor, labor market, monopsony, labor, market"
1811.0,Conor Walsh,SSRN,Firm Creation and Local Growth,,Local Economic Shocks and Firm Growth,2023.0,MI,UP,,10.3386/w14250,,"Walsh, Conor, Firm Creation and Local Growth (December 1, 2019). Available at SSRN: https://ssrn.com/abstract=3496782 or http://dx.doi.org/10.2139/ssrn.3496782. Mimeo. ",,2019.0,Baruch,2018.0,,Completed,economics,,,,"firm creation, local growth, growth, firm, creation local"
1811.0,Conor Walsh,Minneapolis Federal Reserve Bank,Skilled Scalable Services: The New Urban Bias in Economic Growth,,Local Economic Shocks and Firm Growth,2023.0,WP,PB,,10.3386/w14250,,"Eckert, Fabian; Ganapati, Sharat; Walsh, Conor. ""Skilled Scalable Services: The New Urban Bias in Economic Growth."" Minneapolis Federal Reserve Bank, Institute Working Paper 25, November 13, 2020",,2020.0,Baruch,2018.0,,Completed,economics,13,,,"skilled scalable, urban bias, economic growth, scalable services, growth"
1811.0,Conor Walsh,,Population Growth and Firm Dynamics,,Local Economic Shocks and Firm Growth,2023.0,MI,UP,,10.3386/w14250,,"Peters, Michael and Conor Walsh. 2021. ""Population Growth and Firm Dynamics."" https://econ.la.psu.edu/events/seminar-documents/PopGrowthFirmDynamics.pdf. Mimeo",,2021.0,Baruch,2018.0,,Completed,economics,,,,"population growth, firm dynamics, growth firm, growth, population"
